"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.44480491330778e-30,1.65414012780375,0.592,0.318,3.2249490469943e-26,"8","RHOC"
2.53690341488782e-30,1.36679524712406,0.468,0.21,5.6626221123711e-26,"8","CLEC12A"
4.35590594981024e-30,1.09376650807699,0.684,0.385,9.72281767057144e-26,"8","SH3BP2"
5.68665948140614e-30,0.633872199427655,0.93,0.736,1.26931926284466e-25,"8","MYL12A"
5.80087670978467e-30,1.26390529184872,0.516,0.246,1.29481369039104e-25,"8","MAPKAPK3"
7.33681545445877e-30,1.00847266661492,0.633,0.342,1.63765057758974e-25,"8","BLVRA"
8.09189039240406e-30,1.13564509331913,0.725,0.498,1.80619085448851e-25,"8","LAP3"
8.53602697158374e-30,1.02125620866968,0.791,0.534,1.90532658032721e-25,"8","RAP1B"
9.77393570717819e-30,1.31328121727758,0.585,0.314,2.18164018919924e-25,"8","RARRES3"
1.0979812042594e-29,0.985730865998176,0.671,0.375,2.4508038460274e-25,"8","APOL6"
1.94905427879855e-29,0.876895267516331,0.778,0.471,4.35048405570623e-25,"8","GIMAP4"
2.34838190196875e-29,1.15400662657966,0.778,0.523,5.24182324338446e-25,"8","PTP4A2"
2.36375631903892e-29,1.04751273607647,0.677,0.388,5.27614047972676e-25,"8","ABRACL"
3.19180859471294e-29,1.72264359230038,0.269,0.084,7.12443596425875e-25,"8","BATF3"
3.51157801102893e-29,0.506059578443582,1,0.968,7.83819327841767e-25,"8","ACTB"
4.13576243672826e-29,0.631556391122173,0.927,0.664,9.23143533502114e-25,"8","CHCHD2"
1.72728866537895e-28,0.865646691035014,0.921,0.788,3.85548102999235e-24,"8","PTPRC"
1.82592226447603e-28,1.15871890198897,0.301,0.099,4.07564108653694e-24,"8","AQP9"
2.39544906241109e-28,2.31301003850256,0.161,0.035,5.34688185220779e-24,"8","MCEMP1"
2.87073840549022e-28,1.59805639472258,0.475,0.227,6.40777519489473e-24,"8","RRAS"
4.09428699636052e-28,1.01612037781447,0.573,0.29,9.13885800457632e-24,"8","C9orf72"
5.18332664381178e-28,1.38648153377302,0.513,0.263,1.15697034016523e-23,"8","MYOF"
6.05348590462188e-28,0.520083172611512,0.994,0.836,1.35119858877065e-23,"8","TYROBP"
6.56447895479718e-28,1.19957838121555,0.633,0.356,1.46525734750028e-23,"8","CYTIP"
8.11483902237821e-28,1.02964120294773,0.785,0.515,1.81131321818504e-23,"8","MTPN"
8.36172278685949e-28,1.45665452613515,0.396,0.164,1.86642014325491e-23,"8","B4GALT5"
8.5671184928178e-28,0.701085406266925,0.839,0.565,1.91226651878186e-23,"8","PSMB3"
1.00216136384757e-27,1.2346140747252,0.304,0.103,2.23692438024417e-23,"8","MARCO"
1.90992482405307e-27,1.40980168125452,0.37,0.148,4.26314319976887e-23,"8","HRH2"
2.58433924434068e-27,1.12430593696879,0.715,0.45,5.76850362729282e-23,"8","DUSP6"
2.96534553989988e-27,1.03366913646861,0.677,0.393,6.61894777961052e-23,"8","MX2"
3.04929701191201e-27,1.29136361339115,0.62,0.362,6.80633586028881e-23,"8","LRRC25"
3.48197303570121e-27,1.30924277010462,0.424,0.184,7.77211201298867e-23,"8","OASL"
3.96067042902769e-27,0.484990933285288,0.987,0.876,8.84061246463271e-23,"8","UBA52"
4.09364566741909e-27,0.905494342277878,0.769,0.506,9.13742649424615e-23,"8","C4orf3"
5.77776335077159e-27,1.10563052110778,0.547,0.273,1.28965455752573e-22,"8","GIMAP7"
6.45479198183541e-27,0.996381502218936,0.56,0.293,1.44077411826548e-22,"8","POLE4"
