"stage","pathway_name","source","target","n_LR_pairs","summed_probability"
"Early","CCL","Mac-FOLR2-LYVE1-resident","Myeloid-CLEC10A-APC",5,0.0577327604469389
"Non-malignant","CCL","Mac-FOLR2-LYVE1-resident","Myeloid-CLEC10A-APC",4,0.0356900025452912
"Advanced","CCL","Mac-NUPR1-IGF2-stress","B cell_plasma",1,0.000128131485026356
"Advanced","CCL","Mac-NUPR1-IGF2-stress","C6-SLC2A1-like",2,0.0607391413908639
"Early","CCL","Mac-NUPR1-IGF2-stress","C6-SLC2A1-like",3,0.0230086876320931
"Non-malignant","CCL","Mac-NUPR1-IGF2-stress","C6-SLC2A1-like",4,0.0622694362688711
"Advanced","CCL","Mac-NUPR1-IGF2-stress","C7-APOBEC3A-like",2,0.0664057766992384
"Early","CCL","Mac-NUPR1-IGF2-stress","C7-APOBEC3A-like",3,0.0281294961928879
"Non-malignant","CCL","Mac-NUPR1-IGF2-stress","C7-APOBEC3A-like",4,0.0580085962746927
"Early","CCL","Mac-NUPR1-IGF2-stress","Cell cycle cell",3,0.0126837558696165
"Advanced","CCL","Mac-NUPR1-IGF2-stress","Endothelia",1,0.000727690188485036
"Advanced","CCL","Mac-NUPR1-IGF2-stress","Mac-Cycling",2,0.032682028504922
"Early","CCL","Mac-NUPR1-IGF2-stress","Mac-Cycling",1,0.0133602144991628
"Non-malignant","CCL","Mac-NUPR1-IGF2-stress","Mac-Cycling",2,0.0221827391518132
"Advanced","CCL","Mac-NUPR1-IGF2-stress","Mac-FOLR2-LYVE1-resident",2,0.0239220277486473
"Early","CCL","Mac-NUPR1-IGF2-stress","Mac-FOLR2-LYVE1-resident",1,0.00591468132812833
"Non-malignant","CCL","Mac-NUPR1-IGF2-stress","Mac-FOLR2-LYVE1-resident",2,0.0448799482974541
"Advanced","CCL","Mac-NUPR1-IGF2-stress","Mac-OLFML3-CX3CR1-resident",2,0.0331464145635216
"Early","CCL","Mac-NUPR1-IGF2-stress","Mac-OLFML3-CX3CR1-resident",1,0.00561804707848529
"Non-malignant","CCL","Mac-NUPR1-IGF2-stress","Mac-OLFML3-CX3CR1-resident",4,0.0361698524223443
"Non-malignant","CCL","Mac-NUPR1-IGF2-stress","Mac-TNF-CCL4-inflammatory",2,0.00729494275730968
"Advanced","CCL","Mac-NUPR1-IGF2-stress","Mono-FCN1-S100A8-S100A9",3,0.0294040197049663
"Early","CCL","Mac-NUPR1-IGF2-stress","Mono-FCN1-S100A8-S100A9",1,0.00928211689052549
"Non-malignant","CCL","Mac-NUPR1-IGF2-stress","Mono-FCN1-S100A8-S100A9",2,0.0160734684044103
"Non-malignant","CCL","Mac-NUPR1-IGF2-stress","Myeloid",2,0.00703777062854724
"Advanced","CCL","Mac-NUPR1-IGF2-stress","Myeloid-CLEC10A-APC",5,0.0549047996959323
"Early","CCL","Mac-NUPR1-IGF2-stress","Myeloid-CLEC10A-APC",3,0.0123348833679418
"Non-malignant","CCL","Mac-NUPR1-IGF2-stress","Myeloid-CLEC10A-APC",4,0.022391423419253
"Advanced","CCL","Mac-OLFML3-CX3CR1-resident","B cell_plasma",1,0.00135256293715012
"Early","CCL","Mac-OLFML3-CX3CR1-resident","B cell_plasma",1,0.0044288451446195
"Advanced","CCL","Mac-OLFML3-CX3CR1-resident","C6-SLC2A1-like",3,0.19693376758003
"Early","CCL","Mac-OLFML3-CX3CR1-resident","C6-SLC2A1-like",6,0.225411952708869
"Non-malignant","CCL","Mac-OLFML3-CX3CR1-resident","C6-SLC2A1-like",4,0.3256919489033
"Advanced","CCL","Mac-OLFML3-CX3CR1-resident","C7-APOBEC3A-like",3,0.214312432902745
"Early","CCL","Mac-OLFML3-CX3CR1-resident","C7-APOBEC3A-like",6,0.264104817727891
"Non-malignant","CCL","Mac-OLFML3-CX3CR1-resident","C7-APOBEC3A-like",5,0.31441221574352
"Early","CCL","Mac-OLFML3-CX3CR1-resident","Cell cycle cell",6,0.100649653781558
"Advanced","CCL","Mac-OLFML3-CX3CR1-resident","Endothelia",2,0.0127054018045239
"Early","CCL","Mac-OLFML3-CX3CR1-resident","Endothelia",2,0.036962654536609
"Non-malignant","CCL","Mac-OLFML3-CX3CR1-resident","Endothelia",1,0.00769872304300062
"Advanced","CCL","Mac-OLFML3-CX3CR1-resident","Mac-Cycling",3,0.108466421232932
"Early","CCL","Mac-OLFML3-CX3CR1-resident","Mac-Cycling",3,0.147845698717755
"Non-malignant","CCL","Mac-OLFML3-CX3CR1-resident","Mac-Cycling",2,0.123231753421189
"Advanced","CCL","Mac-OLFML3-CX3CR1-resident","Mac-FOLR2-LYVE1-resident",3,0.0799857276860637
"Early","CCL","Mac-OLFML3-CX3CR1-resident","Mac-FOLR2-LYVE1-resident",3,0.0672944037145037
"Non-malignant","CCL","Mac-OLFML3-CX3CR1-resident","Mac-FOLR2-LYVE1-resident",2,0.237055896923936
"Advanced","CCL","Mac-OLFML3-CX3CR1-resident","Mac-OLFML3-CX3CR1-resident",3,0.109964523044461
"Early","CCL","Mac-OLFML3-CX3CR1-resident","Mac-OLFML3-CX3CR1-resident",3,0.0639914036444425
"Non-malignant","CCL","Mac-OLFML3-CX3CR1-resident","Mac-OLFML3-CX3CR1-resident",4,0.196875854399528
"Non-malignant","CCL","Mac-OLFML3-CX3CR1-resident","Mac-TNF-CCL4-inflammatory",2,0.0419497839134311
"Advanced","CCL","Mac-OLFML3-CX3CR1-resident","Mono-FCN1-S100A8-S100A9",4,0.102763647974134
"Early","CCL","Mac-OLFML3-CX3CR1-resident","Mono-FCN1-S100A8-S100A9",4,0.108789339949904
"Non-malignant","CCL","Mac-OLFML3-CX3CR1-resident","Mono-FCN1-S100A8-S100A9",2,0.090554378066219
"Non-malignant","CCL","Mac-OLFML3-CX3CR1-resident","Myeloid",2,0.0404954950549098
"Advanced","CCL","Mac-OLFML3-CX3CR1-resident","Myeloid-CLEC10A-APC",7,0.175053273873666
"Early","CCL","Mac-OLFML3-CX3CR1-resident","Myeloid-CLEC10A-APC",7,0.120737481184244
"Non-malignant","CCL","Mac-OLFML3-CX3CR1-resident","Myeloid-CLEC10A-APC",4,0.126048139564018
"Advanced","CCL","Mac-TNF-CCL4-inflammatory","B cell_plasma",1,0.000702016700405711
"Early","CCL","Mac-TNF-CCL4-inflammatory","B cell_plasma",1,0.0141496932258596
"Advanced","CCL","Mac-TNF-CCL4-inflammatory","C6-SLC2A1-like",3,0.216698944931978
"Early","CCL","Mac-TNF-CCL4-inflammatory","C6-SLC2A1-like",6,0.255999865175652
"Non-malignant","CCL","Mac-TNF-CCL4-inflammatory","C6-SLC2A1-like",4,0.375182610544483
"Advanced","CCL","Mac-TNF-CCL4-inflammatory","C7-APOBEC3A-like",3,0.235592628992226
"Early","CCL","Mac-TNF-CCL4-inflammatory","C7-APOBEC3A-like",6,0.29878105368198
"Non-malignant","CCL","Mac-TNF-CCL4-inflammatory","C7-APOBEC3A-like",5,0.373911129101763
