"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
4.49340657307634e-76,7.4775649493931,0.269,0.004,1.00297328117637e-71,"GPR18"
5.57278960955268e-76,2.39932740446053,0.792,0.552,1.24390236874825e-71,"TSC22D3"
8.55436773670479e-76,-1.95848574777311,0.117,0.73,1.90942042250988e-71,"DNAJB9"
1.00264501434612e-75,3.91550578982179,0.589,0.226,2.23800393652197e-71,"LCP1"
1.06058772752841e-75,3.74559616585715,0.549,0.173,2.36733786661616e-71,"EVL"
3.45197244363991e-75,-2.26079874373002,0.122,0.72,7.70514769144865e-71,"CRELD2"
4.62357917841152e-75,-2.12191261682803,0.158,0.766,1.03202910841323e-70,"CPEB4"
8.36031423220613e-74,1.57685721327737,0.842,0.828,1.86610573977073e-69,"SRP14"
2.66181662945259e-73,1.68235693736884,0.858,0.813,5.94144089860112e-69,"PNISR"
5.33327889403961e-73,-1.77538359891518,0.106,0.704,1.19044118193858e-68,"TXNDC15"
6.7506934917206e-73,7.33872655642687,0.253,0.002,1.50682229428696e-68,"LINC01857"
4.01856278618491e-72,3.28219242770063,0.637,0.31,8.96983399504333e-68,"TNFAIP8"
3.98843582948704e-71,4.06750471702747,0.485,0.126,8.90258761499803e-67,"PRKCB"
1.18286204783479e-70,-1.83992198901734,0.104,0.685,2.64026637697204e-66,"SEC61A1"
2.45540584146629e-70,2.7430756780565,0.716,0.497,5.48071137873691e-66,"SEPT7"
3.10135946506601e-70,-1.3566371670475,0.221,0.853,6.92254446197385e-66,"FAM46C"
3.14150350758994e-70,4.01199358610719,0.413,0.075,7.01214997929151e-66,"FCRLA"
3.32889874382074e-70,4.57313955870586,0.415,0.078,7.43043488608228e-66,"LINC02397"
5.84303367488359e-70,3.02631252896537,0.655,0.351,1.30422354657077e-65,"SP110"
8.68560413206869e-70,-2.52850550309967,0.043,0.57,1.93871369831905e-65,"ARSA"
1.08948495126099e-69,3.67517315064444,0.607,0.286,2.43183935970965e-65,"MTPN"
1.99449411824938e-69,1.65613761251646,0.878,0.808,4.45191032134445e-65,"TXNIP"
3.86855538817407e-69,1.85532807579159,0.797,0.748,8.63500248194333e-65,"YBX1"
5.93813879613716e-69,-3.16746415960206,0.014,0.507,1.32545196068578e-64,"CHPF"
7.5631483560062e-69,-3.40281135857169,0.023,0.523,1.68817034454414e-64,"MANEA"
2.64744147135255e-68,-1.51211242807439,0.167,0.775,5.90935410820603e-64,"KDELR1"
1.27032805478541e-67,2.16662725257603,0.774,0.708,2.83549925108651e-63,"CLIC1"
2.18220776179387e-67,3.06760462419554,0.704,0.505,4.87090594510009e-63,"BASP1"
2.60091796940451e-67,1.30752336121858,0.896,0.911,5.8055089995078e-63,"HMGB1"
7.32457106472424e-67,4.9675858310042,0.354,0.048,1.6349175073571e-62,"ID3"
1.12557583351523e-66,6.93402325682829,0.264,0.012,2.51239781798935e-62,"SNX22"
1.33257997324065e-66,1.21698146294196,0.944,0.912,2.97445175827046e-62,"H3F3B"
1.87062847062039e-66,-1.7655218664985,0.104,0.662,4.17542980927177e-62,"ADA2"
5.3556620111639e-66,-1.64406532008023,0.129,0.707,1.19543731751189e-61,"SEC14L1"
5.52419494197565e-66,-1.51755194062521,0.124,0.702,1.23305555299838e-61,"RPN1"
5.87883287058122e-66,-1.68342401660727,0.104,0.666,1.31221428504243e-61,"DNAJC3"
9.08728919612952e-66,5.25313736696633,0.255,0.01,2.02837382146807e-61,"CD72"
1.0184230275155e-65,1.96580499412415,0.779,0.65,2.27322203971735e-61,"SRSF7"
1.16556478919899e-65,1.82475321954125,0.799,0.762,2.60165716597106e-61,"HINT1"
1.731291800798e-65,3.34407153021731,0.637,0.359,3.86441642856122e-61,"ARPC1B"
2.06490114565989e-65,-2.71632760222049,0.029,0.523,4.60906584722743e-61,"HSPA13"
2.30357861300755e-65,2.99608218803036,0.67,0.425,5.14181782209415e-61,"ACTR3"
1.46678451617547e-64,5.99718873860032,0.282,0.021,3.27400971855527e-60,"SESN3"
4.91063290299135e-64,2.37207346972683,0.745,0.673,1.0961023702767e-59,"EIF3E"
5.19630655627561e-64,-0.902135808972136,0.178,0.793,1.15986758642628e-59,"FCRL5"
7.27910945926472e-64,-2.88034122485211,0.027,0.508,1.62477002240248e-59,"CCR2"
1.06030721021683e-63,4.13968324584663,0.472,0.139,2.36671172392499e-59,"LAT2"
1.34854168613661e-63,1.91848159140751,0.781,0.743,3.01007989762554e-59,"CALM1"
3.11048574035786e-63,2.0631328930396,0.756,0.702,6.94291522105278e-59,"SUMO2"
4.07558565962572e-63,4.63632202607162,0.372,0.066,9.09711475085056e-59,"CYB561A3"
4.54680457945633e-63,4.64657007790994,0.314,0.035,1.01489225018045e-58,"TRAF5"
5.34585730698631e-63,1.63632094937571,0.808,0.798,1.19324880949241e-58,"UQCRB"
