"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"C6-SLC2A1-like","Mac-NUPR1-IGF2-stress","HLA-DRB1","CD4",0.0351848016239137,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"C7-APOBEC3A-like","Mac-NUPR1-IGF2-stress","HLA-DRB1","CD4",0.0529691584096518,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD8 T","Mac-NUPR1-IGF2-stress","HLA-DRB1","CD4",0.017403072122197,0.04,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Cell cycle cell","Mac-NUPR1-IGF2-stress","HLA-DRB1","CD4",0.0234846191726929,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-Cycling","Mac-NUPR1-IGF2-stress","HLA-DRB1","CD4",0.0427947767585447,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-FOLR2-LYVE1-resident","Mac-NUPR1-IGF2-stress","HLA-DRB1","CD4",0.0469744231420266,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-NUPR1-IGF2-stress","Mac-NUPR1-IGF2-stress","HLA-DRB1","CD4",0.0340080655310789,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-OLFML3-CX3CR1-resident","Mac-NUPR1-IGF2-stress","HLA-DRB1","CD4",0.0558489487070041,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-TNF-CCL4-inflammatory","Mac-NUPR1-IGF2-stress","HLA-DRB1","CD4",0.0305038454285986,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mono-FCN1-S100A8-S100A9","Mac-NUPR1-IGF2-stress","HLA-DRB1","CD4",0.0362742630737249,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid","Mac-NUPR1-IGF2-stress","HLA-DRB1","CD4",0.0515480705831061,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid-CLEC10A-APC","Mac-NUPR1-IGF2-stress","HLA-DRB1","CD4",0.0421594037437974,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"B cell_plasma","Mac-OLFML3-CX3CR1-resident","HLA-DRB1","CD4",0.0381821651506018,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"C6-SLC2A1-like","Mac-OLFML3-CX3CR1-resident","HLA-DRB1","CD4",0.0940261322098872,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"C7-APOBEC3A-like","Mac-OLFML3-CX3CR1-resident","HLA-DRB1","CD4",0.137319131238647,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD8 T","Mac-OLFML3-CX3CR1-resident","HLA-DRB1","CD4",0.0479861297497165,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Cell cycle cell","Mac-OLFML3-CX3CR1-resident","HLA-DRB1","CD4",0.0640582657997568,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Epithelia","Mac-OLFML3-CX3CR1-resident","HLA-DRB1","CD4",0.0212717204003091,0.01,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
